tag	yomi	note
岩石	がんせき	auto_expanded_needs_review
島嶼	とうしょ	auto_expanded_needs_review
崇高なるカルキスト・イオン	すうこうなるかるきすと・いおん	auto_expanded_needs_review
川獺丸従業員	かわうそまるじゅうぎょういん	auto_expanded_needs_review
左利き	ひだりきき	auto_expanded_needs_review
差し止め通知	さしとめつうち	auto_expanded_needs_review
巷説部門	こうせつぶもん	auto_expanded_needs_review
帝国	ていこく	auto_expanded_needs_review
平異会		needs_review
年頃のガイア	としごろのがいあ	auto_expanded_needs_review
幻島同盟	げんとうどうめい	auto_expanded_needs_review
幻覚	げんかく	auto_expanded_needs_review
広域収容事例	こういきしゅうようじれい	auto_expanded_needs_review
広末サマンサ	ひろすえさまんさ	auto_expanded_needs_review
広末孝行	ひろすえたかゆき	auto_expanded_needs_review
廃棄部門	はいきぶもん	auto_expanded_needs_review
建造物	けんぞうぶつ	auto_expanded_needs_review
弟の食料品	おとうとのしょくりょうひん	auto_expanded_needs_review
張道士	ちょうどうし	auto_expanded_needs_review
強制力	きょうせいりょく	auto_expanded_needs_review
形式部門	けいしきぶもん	auto_expanded_needs_review
彫像	ちょうぞう	auto_expanded_needs_review
影	かげ	auto_expanded_needs_review
彼岸	ひがん	auto_expanded_needs_review
従兄弟のジョニー	いとこのじょにー	auto_expanded_needs_review
御先管理員	みさきかんりいん	auto_expanded_needs_review
御蓮寺恋治	ごれんじれんじ	auto_expanded_needs_review
微視的	びしてき	auto_expanded_needs_review
心霊課	しんれいか	auto_expanded_needs_review
必読	ひつどく	auto_expanded_needs_review
忘れられた記憶	わすれられたきおく	auto_expanded_needs_review
忘れ難きもの	わすれがたきもの	auto_expanded_needs_review
忘却のアディウム	ぼうきゃくのあでぃうむ	auto_expanded_needs_review
忘年会2013	ぼうねんかい2013	auto_expanded_needs_review
念力	ねんりき	auto_expanded_needs_review
性的	せいてき	auto_expanded_needs_review
怪奇部門	かいきぶもん	auto_expanded_needs_review
怪奇銘々伝	かいきめいめいでん	auto_expanded_needs_review
恋昏崎		needs_review
恋昏崎新聞社		needs_review
恐怖コン24	きょうふこん24	auto_expanded_needs_review
恐怖症アンソロジー	きょうふしょうあんそろじー	auto_expanded_needs_review
恐竜	きょうりゅう	auto_expanded_needs_review
情報災害	じょうほうさいがい	auto_expanded_needs_review
情報科学	じょうほうかがく	auto_expanded_needs_review
惑星	わくせい	auto_expanded_needs_review
感覚	かんかく	auto_expanded_needs_review
懐中銃教会	かいちゅうじゅうきょうかい	auto_expanded_needs_review
戦術求解部門	せんじゅつきゅうかいぶもん	auto_expanded_needs_review
戦術神学部門	せんじゅつしんがくぶもん	auto_expanded_needs_review
房先生		needs_review
扶桑紀	ふそうき	auto_expanded_needs_review
批評家	ひひょうか	auto_expanded_needs_review
批評者スポットライト	ひひょうしゃすぽっとらいと	auto_expanded_needs_review
投票	とうひょう	auto_expanded_needs_review
振動	しんどう	auto_expanded_needs_review
捕食	ほしょく	auto_expanded_needs_review
掌編コンテスト2023	しょうへんこんてすと2023	auto_expanded_needs_review
排泄	はいせつ	auto_expanded_needs_review
探査	たんさ	auto_expanded_needs_review
擬態	ぎたい	auto_expanded_needs_review
改稿	かいこう	auto_expanded_needs_review
放射能	ほうしゃのう	auto_expanded_needs_review
放浪者の図書館	ほうろうしゃのとしょかん	auto_expanded_needs_review
政治家	せいじか	auto_expanded_needs_review
政治結社ルフ・アングリフ	せいじけっしゃるふ・あんぐりふ	auto_expanded_needs_review
教会の博士	きょうかいのはかせ	auto_expanded_needs_review
数学	すうがく	auto_expanded_needs_review
敵対的	てきたいてき	auto_expanded_needs_review
文書	ぶんしょ	auto_expanded_needs_review
新人執筆者コンテスト	しんじんしっぴつしゃこんてすと	auto_expanded_needs_review
新四山小学校	しんよつやましょうがっこう	auto_expanded_needs_review
新星コンテスト	しんせいこんてすと	auto_expanded_needs_review
新茶嶺		needs_review
日奉一族		needs_review
日奉茜		needs_review
日奉薮		needs_review
日本生類創研	にほんせいるいそうけん	auto_expanded_needs_review
旧南関東奇譚会界隈	きゅうみなみかんとうきたんかいかいわい	auto_expanded_needs_review
旧敵たち	きゅうてきたち	auto_expanded_needs_review
昆虫	こんちゅう	auto_expanded_needs_review
星警隊	せいけいたい	auto_expanded_needs_review
映像添付	えいぞうてんぷ	auto_expanded_needs_review
映画	えいが	auto_expanded_needs_review
春節コンテスト	しゅんせつこんてすと	auto_expanded_needs_review
時コン25	ときこん25	auto_expanded_needs_review
時間	じかん	auto_expanded_needs_review
晴れの休みは上野巡りへ	はれのやすみはうえのめぐりへ	auto_expanded_needs_review
晴明院	せいめいいん	auto_expanded_needs_review
最上の事	さいじょうのこと	auto_expanded_needs_review
月	つき	auto_expanded_needs_review
有村組	ありむらぐみ	auto_expanded_needs_review
朝鮮	ちょうせん	auto_expanded_needs_review
木易		needs_review
未収容	みしゅうよう	auto_expanded_needs_review
未定	みてい	auto_expanded_needs_review
未来	みらい	auto_expanded_needs_review
未認可支部	みにんかしぶ	auto_expanded_needs_review
東弊重工	とうへいじゅうこう	auto_expanded_needs_review
松明の子供達	たいまつのこどもたち	auto_expanded_needs_review
核の夢	かくのゆめ	auto_expanded_needs_review
桑名博士	くわなはかせ	auto_expanded_needs_review
森林	しんりん	auto_expanded_needs_review
植物	しょくぶつ	auto_expanded_needs_review
極夜灯	きょくやとう	auto_expanded_needs_review
極寒の戦争	ごっかんのせんそう	auto_expanded_needs_review
概念	がいねん	auto_expanded_needs_review
構造	こうぞう	auto_expanded_needs_review
樫の木	かしのき	auto_expanded_needs_review
樹木	じゅもく	auto_expanded_needs_review
橋ヶ谷研究員	はしがやけんきゅういん	auto_expanded_needs_review
橙	だいだい	auto_expanded_needs_review
機械	きかい	auto_expanded_needs_review
機械仕掛けの神	きかいじかけのかみ	auto_expanded_needs_review
欺瞞部門	ぎまんぶもん	auto_expanded_needs_review
武器	ぶき	auto_expanded_needs_review
歯	は	auto_expanded_needs_review
歯車仕掛正教	はぐるまじかけせいきょう	auto_expanded_needs_review
歴史	れきし	auto_expanded_needs_review
歴史コンテスト	れきしこんてすと	auto_expanded_needs_review
死せる星の観測	しせるほしのかんそく	auto_expanded_needs_review
死のabc	しのabc	auto_expanded_needs_review
死の終焉	しのおわり	auto_expanded_needs_review
死人の手札	しにんのてふだ	auto_expanded_needs_review
死体	したい	auto_expanded_needs_review
死後	しご	auto_expanded_needs_review
残された希望	のこされたきぼう	auto_expanded_needs_review
殿堂入り	でんどういり	auto_expanded_needs_review
毒性	どくせい	auto_expanded_needs_review
気体	きたい	auto_expanded_needs_review
水中	すいちゅう	auto_expanded_needs_review
氷我記	ひょうがき	auto_expanded_needs_review
永衡教会	えいこうきょうかい	auto_expanded_needs_review
法律	ほうりつ	auto_expanded_needs_review
波戸崎研究員	はとざきけんきゅういん	auto_expanded_needs_review
注目の翻訳記事	ちゅうもくのほんやくきじ	auto_expanded_needs_review
注目記事	ちゅうもくきじ	auto_expanded_needs_review
洗濯部門	せんたくぶもん	auto_expanded_needs_review
津軽みのり	つがるみのり	auto_expanded_needs_review
浄土真宗本願誇負派		needs_review
海の底からの物語	うみのそこからのものがたり	auto_expanded_needs_review
海鷗銜鑰		needs_review
消えゆく星々	きえゆくほしぼし	auto_expanded_needs_review
消照闇子		needs_review
液体	えきたい	auto_expanded_needs_review
深夜クラブ	しんやくらぶ	auto_expanded_needs_review
深淵の光	しんえんのひかり	auto_expanded_needs_review
深淵目録	しんえんもくろく	auto_expanded_needs_review
清海鎮	せいかいちん	auto_expanded_needs_review
温度	おんど	auto_expanded_needs_review
港城江		needs_review
演繹部門	えんえきぶもん	auto_expanded_needs_review
漢文	かんぶん	auto_expanded_needs_review
潜伏治療	せんぷくちりょう	auto_expanded_needs_review
火急鎮静部門	かきゅうちんせいぶもん	auto_expanded_needs_review
災禍転福キャンペーン	さいかてんぷくきゃんぺーん	auto_expanded_needs_review
炎	ほのお	auto_expanded_needs_review
無コン19	むこん19	auto_expanded_needs_review
無名職員は語る	むめいしょくいんはかたる	auto_expanded_needs_review
無尽月導衆	むじんげつどうしゅう	auto_expanded_needs_review
無脊椎動物	むせきついどうぶつ	auto_expanded_needs_review
熱力学	ねつりきがく	auto_expanded_needs_review
爬虫類	はちゅうるい	auto_expanded_needs_review
物理少年	ぶつりしょうねん	auto_expanded_needs_review
特別保安局	とくべつほあんきょく	auto_expanded_needs_review
犀賀六巳	さいがむつみ	auto_expanded_needs_review
犀賀派	さいがは	auto_expanded_needs_review
玩具	がんぐ	auto_expanded_needs_review
現実改変	げんじつかいへん	auto_expanded_needs_review
球体	きゅうたい	auto_expanded_needs_review
理外研	りがいけん	auto_expanded_needs_review
理想と報復	りそうとほうふく	auto_expanded_needs_review
生		needs_review
生典	せいてん	auto_expanded_needs_review
生命	せいめい	auto_expanded_needs_review
生命の樹	せいめいのき	auto_expanded_needs_review
生命体	せいめいたい	auto_expanded_needs_review
生殖	せいしょく	auto_expanded_needs_review
生物学	せいぶつがく	auto_expanded_needs_review
生物災害	せいぶつさいがい	auto_expanded_needs_review
田中先生	たなかせんせい	auto_expanded_needs_review
甲殻類	こうかくるい	auto_expanded_needs_review
画像差し止め	がぞうさしとめ	auto_expanded_needs_review
番外部門	ばんがいぶもん	auto_expanded_needs_review
異学会	いがっかい	auto_expanded_needs_review
異常事件課	いじょうじけんか	auto_expanded_needs_review
異常宗教表現部門	いじょうしゅうきょうひょうげんぶもん	auto_expanded_needs_review
異常発見部門	いじょうはっけんぶもん	auto_expanded_needs_review
異常積荷委員会	いじょうつみにいいんかい	auto_expanded_needs_review
異次元	いじげん	auto_expanded_needs_review
白	しろ	auto_expanded_needs_review
白子博士	しらこはかせ	auto_expanded_needs_review
白色家系図録	しろいろかけいずろく	auto_expanded_needs_review
監査官	かんさかん	auto_expanded_needs_review
監督真司令部	かんとくしんしれいぶ	auto_expanded_needs_review
相貌失認	そうぼうしつにん	auto_expanded_needs_review
看図説話-待宵草	かんずせつわ-まつよいぐさ	auto_expanded_needs_review
看図説話-粉蝶花		needs_review
看図説話-薫衣草		needs_review
看図説話-香蒲	かんずせつわ-がま	auto_expanded_needs_review
看図説話-鬼百合	かんずせつわ-おにゆり	auto_expanded_needs_review
真北研究員	まきたけんきゅういん	auto_expanded_needs_review
真菌類	しんきんるい	auto_expanded_needs_review
眼	め	auto_expanded_needs_review
睡眠	すいみん	auto_expanded_needs_review
瞬間移動	しゅんかんいどう	auto_expanded_needs_review
知性	ちせい	auto_expanded_needs_review
知性体	ちせいたい	auto_expanded_needs_review
知識	ちしき	auto_expanded_needs_review
石榴倶楽部	ざくろくらぶ	auto_expanded_needs_review
破壊不可能	はかいふかのう	auto_expanded_needs_review
破暁		needs_review
確率	かくりつ	auto_expanded_needs_review
磁力	じりょく	auto_expanded_needs_review
神世継	かみよつぎ	auto_expanded_needs_review
神山博士	かみやまはかせ	auto_expanded_needs_review
神恵研究員	かみえけんきゅういん	auto_expanded_needs_review
神枷一族	かみかせいちぞく	auto_expanded_needs_review
神異博覧会	しんいはくらんかい	auto_expanded_needs_review
神経	しんけい	auto_expanded_needs_review
神話・民俗学部門	しんわ・みんぞくがくぶもん	auto_expanded_needs_review
神話伝説	しんわでんせつ	auto_expanded_needs_review
福路捜索部隊長		needs_review
私たちを見守るもの	わたしたちをみまもるもの	auto_expanded_needs_review
秦漢財団	しんかんざいだん	auto_expanded_needs_review
移動	いどう	auto_expanded_needs_review
移動不可能	いどうふかのう	auto_expanded_needs_review
種族	しゅぞく	auto_expanded_needs_review
穴蔵	あなぐら	auto_expanded_needs_review
空と大地のラプソディ	そらとだいちのらぷそでぃ	auto_expanded_needs_review
空中	くうちゅう	auto_expanded_needs_review
空想科学部門	くうそうかがくぶもん	auto_expanded_needs_review
空間	くうかん	auto_expanded_needs_review
競り合う終末論	せりあうしゅうまつろん	auto_expanded_needs_review
第25局	だい25きょく	auto_expanded_needs_review
第三法則	だいさんほうそく	auto_expanded_needs_review
第九世界	だいきゅうせかい	auto_expanded_needs_review
第二ハイトス教会	だいにはいとすきょうかい	auto_expanded_needs_review
第五教会	だいごきょうかい	auto_expanded_needs_review
第八処	だいはちしょ	auto_expanded_needs_review
筐体造り	きょうたいづくり	auto_expanded_needs_review
管理	かんり	auto_expanded_needs_review
管理者	かんりしゃ	auto_expanded_needs_review
節足動物	せっそくどうぶつ	auto_expanded_needs_review
精神影響	せいしんえいきょう	auto_expanded_needs_review
精神感応	せいしんかんのう	auto_expanded_needs_review
素手喧嘩コン21	すでげんかこん21	auto_expanded_needs_review
素晴らしき世界	すばらしきせかい	auto_expanded_needs_review
統合プログラム	とうごうぷろぐらむ	auto_expanded_needs_review
絶滅主義	ぜつめつしゅぎ	auto_expanded_needs_review
継続部門	けいぞくぶもん	auto_expanded_needs_review
緑	みどり	auto_expanded_needs_review
繁広		needs_review
罪団		needs_review
群れ	むれ	auto_expanded_needs_review
翠の王	みどりのおう	auto_expanded_needs_review
老人との海	ろうじんとのうみ	auto_expanded_needs_review
聖ヘドウィグ	せいへどうぃぐ	auto_expanded_needs_review
聖杯を仰ぐ翳	せいはいをあおぐかげ	auto_expanded_needs_review
聴覚	ちょうかく	auto_expanded_needs_review
肉食	にくしょく	auto_expanded_needs_review
腐ち乱れる神の霊峰	くちみだれるかみのれいほう	auto_expanded_needs_review
腐食	ふしょく	auto_expanded_needs_review
自動装置	じどうそうち	auto_expanded_needs_review
自己修復	じこしゅうふく	auto_expanded_needs_review
自己複製	じこふくせい	auto_expanded_needs_review
自律	じりつ	auto_expanded_needs_review
船舶	せんぱく	auto_expanded_needs_review
艦政本部対超常課	かんせいほんぶたいちょうじょうか	auto_expanded_needs_review
艦隊	かんたい	auto_expanded_needs_review
花籠学園	はなかごがくえん	auto_expanded_needs_review
芸能	げいのう	auto_expanded_needs_review
芸術	げいじゅつ	auto_expanded_needs_review
茅野博士	かやのはかせ	auto_expanded_needs_review
荘厳住宅	そうごんじゅうたく	auto_expanded_needs_review
萌里菻		needs_review
著者ページ	ちょしゃぺーじ	auto_expanded_needs_review
葦の輪	あしのわ	auto_expanded_needs_review
葬祭部門	そうさいぶもん	auto_expanded_needs_review
蒐集院	しゅうしゅういん	auto_expanded_needs_review
蘇生	そせい	auto_expanded_needs_review
虎屋博士	とらやはかせ	auto_expanded_needs_review
蛇と焚書のカルテット	へびとふんしょのかるてっと	auto_expanded_needs_review
蛇の手	へびのて	auto_expanded_needs_review
蛸葦廃船	たこあしはいせん	auto_expanded_needs_review
血の娼婦	ちのしょうふ	auto_expanded_needs_review
血液	けつえき	auto_expanded_needs_review
衛星	えいせい	auto_expanded_needs_review
衣類	いるい	auto_expanded_needs_review
袖まくり倶楽部	そでまくりくらぶ	auto_expanded_needs_review
装飾品	そうしょくひん	auto_expanded_needs_review
補足	ほそく	auto_expanded_needs_review
西天カントリークラブ	さいてんかんとりーくらぶ	auto_expanded_needs_review
西行	さいぎょう	auto_expanded_needs_review
要翻訳	ようほんやく	auto_expanded_needs_review
見出し	みだし	auto_expanded_needs_review
視覚	しかく	auto_expanded_needs_review
観測	かんそく	auto_expanded_needs_review
角宇野記録官	かくうのきろくかん	auto_expanded_needs_review
角度研削者	かくどけんさくしゃ	auto_expanded_needs_review
解体部門	かいたいぶもん	auto_expanded_needs_review
触覚	しょっかく	auto_expanded_needs_review
言語	げんご	auto_expanded_needs_review
訓戒	くんかい	auto_expanded_needs_review
記号論	きごうろん	auto_expanded_needs_review
記憶媒体	きおくばいたい	auto_expanded_needs_review
記憶影響	きおくえいきょう	auto_expanded_needs_review
記述	きじゅつ	auto_expanded_needs_review
記録管理人	きろくかんりにん	auto_expanded_needs_review
設定集	せっていしゅう	auto_expanded_needs_review
詩的文学	してきぶんがく	auto_expanded_needs_review
話し上手	はなしじょうず	auto_expanded_needs_review
認識災害	にんしきさいがい	auto_expanded_needs_review
語り	ごり	auto_compound_needs_review
誤伝達部門	ごでんたつぶもん	auto_expanded_needs_review
調達・清算部門	ちょうたつ・せいさんぶもん	auto_expanded_needs_review
論理部門	ろんりぶもん	auto_expanded_needs_review
諸知博士		needs_review
豊穣公社	ほうじょうこうしゃ	auto_expanded_needs_review
負号部隊	ふごうぶたい	auto_expanded_needs_review
財団4k	ざいだん4k	auto_compound_needs_review
財団のない世界	ざいだんのないせかい	auto_compound_needs_review
財団アルバイター	ざいだんあるばいたー	auto_compound_needs_review
財団ラジオ放送局	ざいだんらじおほうそうきょく	auto_expanded_needs_review
財団夏祭り	ざいだんなつまつり	auto_expanded_needs_review
財団探偵	ざいだんたんてい	auto_expanded_needs_review
財団職員id	ざいだんしょくいんid	auto_compound_needs_review
財団職員the-origin	ざいだんしょくいんthe-origin	auto_compound_needs_review
財団製	ざいだんせい	auto_expanded_needs_review
貨幣	かへい	auto_expanded_needs_review
貴族たち	きぞくたち	auto_expanded_needs_review
賞典-注目記事	しょうてん-ちゅうもくきじ	auto_expanded_needs_review
赤	あか	auto_expanded_needs_review
赤斑蛇の手	あかまだらへびのて	auto_expanded_needs_review
超工家電	ちょうこうかでん	auto_expanded_needs_review
超現実部門	ちょうげんじつぶもん	auto_expanded_needs_review
超電救助隊hero	ちょうでんきゅうじょたいhero	auto_expanded_needs_review
路地道	ろじみち	auto_expanded_needs_review
軍事	ぐんじ	auto_expanded_needs_review
軟骨魚類	なんこつぎょるい	auto_expanded_needs_review
転写不全	てんしゃふぜん	auto_expanded_needs_review
転生計画	てんせいけいかく	auto_expanded_needs_review
迷宮	めいきゅう	auto_expanded_needs_review
追憶のアディトゥム	ついおくのあでぃとぅむ	auto_expanded_needs_review
通信	つうしん	auto_expanded_needs_review
道具	どうぐ	auto_expanded_needs_review
道化師	どうけし	auto_expanded_needs_review
道策管理官	どうさくかんりかん	auto_expanded_needs_review
遠己		needs_review
遠野妖怪保護区	とおのようかいほごく	auto_expanded_needs_review
適応	てきおう	auto_expanded_needs_review
遺伝子	いでんし	auto_expanded_needs_review
都市	とし	auto_expanded_needs_review
酩酊街	めいていがい	auto_expanded_needs_review
重力	じゅうりょく	auto_expanded_needs_review
重訳	じゅうやく	auto_expanded_needs_review
金属	きんぞく	auto_expanded_needs_review
金崎研究員	かなざきけんきゅういん	auto_expanded_needs_review
金帳汗国	きんちょうかんこく	auto_expanded_needs_review
鉄道	てつどう	auto_expanded_needs_review
銀河連邦	ぎんがれんぽう	auto_expanded_needs_review
錬金術部門	れんきんじゅつぶもん	auto_expanded_needs_review
録音録画	ろくおんろくが	auto_expanded_needs_review
鏡面の引火点	きょうめんのいんかてん	auto_expanded_needs_review
鐘を鳴らす者の詩	かねをならすもののし	auto_expanded_needs_review
闇寿司	やみずし	auto_expanded_needs_review
闇親方	やみおやかた	auto_expanded_needs_review
防御柵計画	ぼうぎょさくけいかく	auto_expanded_needs_review
陰陽寮	おんみょうりょう	auto_expanded_needs_review
隠し包丁のスニーク	かくしぼうちょうのすにーく	auto_expanded_needs_review
集団意識	しゅうだんいしき	auto_expanded_needs_review
雑草	ざっそう	auto_expanded_needs_review
難波謙司	なんばけんじ	auto_expanded_needs_review
雨霧拷問官	あまぎりごうもんかん	auto_expanded_needs_review
零号専隊	ぜろごうせんたい	auto_expanded_needs_review
電子デバイス	でんしでばいす	auto_expanded_needs_review
電気	でんき	auto_expanded_needs_review
電気通信監視室	でんきつうしんかんししつ	auto_expanded_needs_review
電磁気	でんじき	auto_expanded_needs_review
霊体	れいたい	auto_expanded_needs_review
霧津		needs_review
霧津奇譚		needs_review
青	あお	auto_expanded_needs_review
青大将	あおだいしょう	auto_expanded_needs_review
青玉色の空	せいぎょくいろのそら	auto_expanded_needs_review
青鈍色の空	あおにびいろのそら	auto_expanded_needs_review
静かなる流れ	しずかなるながれ	auto_expanded_needs_review
非公式1200字掌編企画	ひこうしき1200じしょうへんきかく	auto_expanded_needs_review
非公式800字掌編企画	ひこうしき800じしょうへんきかく	auto_expanded_needs_review
非実体	ひじったい	auto_expanded_needs_review
非現実部門	ひげんじつぶもん	auto_expanded_needs_review
音声添付	おんせいてんぷ	auto_expanded_needs_review
音楽	おんがく	auto_expanded_needs_review
音楽審美学	おんがくしんびがく	auto_expanded_needs_review
音波	おんぱ	auto_expanded_needs_review
頭足類	とうそくるい	auto_expanded_needs_review
風露旅社	ふうろりょしゃ	auto_expanded_needs_review
食物	しょくもつ	auto_expanded_needs_review
飯尾博士	いいおはかせ	auto_expanded_needs_review
香城	こうじょう	auto_expanded_needs_review
骨折博士	こっせつはかせ	auto_expanded_needs_review
骨格	こっかく	auto_expanded_needs_review
鬼食料理長	おにぐいりょうりちょう	auto_expanded_needs_review
魔術師学会	まじゅつしがっかい	auto_expanded_needs_review
魚類	ぎょるい	auto_expanded_needs_review
鳥類	ちょうるい	auto_expanded_needs_review
鳴蝉博士	なきぜみはかせ	auto_expanded_needs_review
鵺-斎宮	ぬえ-さいぐう	auto_expanded_needs_review
黄	き	auto_expanded_needs_review
黒	くろ	auto_expanded_needs_review
黒の女王	くろのじょおう	auto_expanded_needs_review
黒塗りの空	くろぬりのそら	auto_expanded_needs_review
黒服のアンチカーニズム	くろふくのあんちかーにずむ	auto_expanded_needs_review
黒魔力師連盟	くろまりょくしれんめい	auto_expanded_needs_review
齧歯類	げっしるい	auto_expanded_needs_review
